"","stem.tag","X0","X1","X2","X7","X8","X10"
"1",10274,0,0,0,1,0,0
"2",10441,0,0,1,1,0,0
"3",10443,0,0,0,3,0,0
"4",10453,0,0,0,4,1,0
"5",10470,0,0,0,1,0,0
"6",10476,0,0,1,5,0,0
"7",10559,0,0,0,3,0,0
"8",10560,0,0,0,1,0,0
"9",10587,0,0,0,1,0,0
"10",10601,0,0,0,1,1,0
"11",10677,0,0,0,1,0,0
"12",10686,0,0,0,1,0,0
"13",20121,0,0,0,2,0,0
"14",20208,0,0,0,2,0,0
"15",20256,0,0,0,3,0,0
"16",20289,0,0,0,1,0,0
"17",20479,0,0,0,1,0,0
"18",20574,0,0,1,0,0,0
"19",20782,0,0,0,1,0,0
"20",20841,0,0,0,1,0,0
"21",20994,1,0,1,0,0,0
"22",30017,0,0,0,1,0,0
"23",30094,0,0,0,2,0,0
"24",30145,0,0,0,1,0,0
"25",30376,0,0,0,1,0,0
"26",30419,0,0,0,1,1,0
"27",30698,0,0,0,2,0,0
"28",30822,0,0,0,1,0,0
"29",30944,0,0,0,0,0,1
"30",30990,0,0,0,0,2,0
"31",30995,0,0,0,1,0,0
"32",31016,0,0,0,2,0,0
"33",31025,0,0,0,1,0,0
"34",31032,0,0,0,1,0,0
"35",31134,0,0,0,1,0,0
"36",40005,0,0,0,3,0,0
"37",40166,0,0,0,1,0,0
"38",40170,0,0,0,3,1,0
"39",40176,0,0,0,1,0,0
"40",40178,0,0,0,1,1,0
"41",40651,0,0,0,2,0,0
"42",40694,0,0,0,1,0,0
"43",40710,0,0,0,1,0,0
"44",40746,0,0,0,1,0,0
"45",40854,0,0,0,1,0,0
"46",40880,0,0,0,1,0,0
"47",40905,0,0,0,1,0,0
"48",40923,0,0,1,0,0,0
"49",40946,0,0,0,1,0,0
"50",50135,0,0,0,3,0,0
"51",50189,0,0,0,1,0,0
"52",50269,0,0,0,1,0,0
"53",50409,0,0,0,6,0,0
"54",50617,0,0,0,1,0,0
"55",50666,0,0,0,1,0,0
"56",50706,0,0,0,3,0,0
"57",50755,0,0,0,5,0,0
"58",50791,0,0,0,1,0,0
"59",50856,0,0,0,2,0,0
"60",50921,0,0,1,1,0,0
"61",50988,0,0,0,1,0,0
"62",60087,0,0,0,2,1,0
"63",60161,0,0,0,1,1,0
"64",60183,0,0,0,5,0,0
"65",60224,0,0,0,1,0,0
"66",60828,0,0,0,3,0,0
"67",60880,0,0,0,3,0,0
"68",60967,0,0,0,1,0,1
"69",61080,0,0,0,1,0,0
"70",70376,0,0,0,3,0,0
"71",70379,0,0,0,2,0,0
"72",70486,0,0,0,1,0,0
"73",70494,0,0,0,1,0,0
"74",70526,0,0,0,2,0,0
"75",70534,0,0,0,2,0,0
"76",70550,0,0,0,2,0,0
"77",70644,0,0,0,3,0,0
"78",70672,0,0,0,1,0,0
"79",70677,0,0,0,2,0,0
"80",70762,0,0,0,2,0,0
"81",70947,0,0,0,1,0,0
"82",70981,0,0,0,3,0,0
"83",80465,0,0,0,2,0,0
"84",80570,0,0,0,1,0,0
"85",80571,0,0,0,1,0,0
"86",80572,0,0,0,3,0,0
"87",80580,0,0,0,2,0,0
"88",80636,0,0,0,1,0,0
"89",80663,0,0,0,5,0,0
"90",80685,0,0,0,4,0,0
"91",80789,0,0,0,1,0,0
"92",80802,1,0,0,2,0,0
"93",80892,0,0,0,1,0,0
"94",80936,0,0,0,1,0,0
"95",80953,0,0,0,1,0,0
"96",80990,0,0,0,2,0,0
"97",90001,0,0,0,3,0,0
"98",90508,1,0,0,2,0,0
"99",90517,0,0,0,4,0,0
"100",90536,0,0,0,1,0,1
"101",90553,0,0,0,4,0,0
"102",90623,0,0,0,1,0,0
"103",90631,0,0,0,2,0,0
"104",90634,0,0,0,2,0,0
"105",90638,0,0,1,1,0,0
"106",90644,0,0,0,1,0,0
"107",90738,0,0,0,1,0,0
"108",90754,0,0,0,2,0,0
"109",90795,0,0,0,3,0,0
"110",90842,0,0,0,1,0,0
"111",90856,0,0,0,2,0,0
"112",90872,0,0,0,2,0,0
"113",100602,0,0,0,3,0,1
"114",100789,0,1,1,1,0,0
"115",100854,0,0,0,1,0,0
"116",100909,0,0,0,2,0,0
"117",100947,1,0,0,0,0,0
"118",100965,0,0,0,2,0,0
"119",110114,0,0,0,3,0,0
"120",110795,0,0,0,1,0,0
"121",120120,0,0,0,1,3,0
"122",120371,0,0,0,1,0,0
"123",120820,0,0,0,1,0,0
"124",130309,0,0,0,2,0,0
"125",130386,2,0,1,2,0,0
"126",130539,0,0,0,1,0,0
"127",130622,0,0,0,2,1,0
"128",130710,0,0,0,1,1,0
"129",140380,0,0,0,1,0,0
"130",140635,0,0,0,4,0,0
"131",150221,0,0,0,2,1,0
"132",150231,0,0,0,0,1,0
"133",150406,0,0,0,4,0,0
"134",150799,0,0,0,2,0,0
"135",150800,0,0,0,1,0,0
"136",150844,0,0,0,2,0,0
"137",151080,0,0,0,3,0,0
"138",151141,0,0,0,1,0,0
"139",170652,2,0,0,1,0,0
"140",171399,0,0,0,3,0,0
"141",171424,0,0,0,1,0,0
"142",171452,0,0,0,1,0,0
"143",180147,0,0,0,1,0,1
"144",180190,0,0,0,1,1,0
"145",180701,0,0,0,1,0,0
"146",180841,1,0,0,5,0,0
"147",190135,0,0,0,4,0,0
"148",190155,1,0,0,2,3,0
"149",190218,0,0,0,3,1,0
"150",190236,0,0,0,2,0,0
"151",190354,0,0,0,2,0,0
"152",190508,0,0,0,5,0,0
"153",190524,0,0,0,1,0,0
"154",190586,0,0,0,4,0,0
"155",200112,0,0,0,2,0,0
"156",200263,0,0,0,1,0,0
"157",200385,0,0,0,1,0,0
"158",200565,0,0,0,4,2,0
"159",210025,0,0,0,3,0,0
"160",210070,0,0,0,7,1,0
"161",210107,0,0,0,2,0,0
"162",220165,0,0,0,1,0,0
"163",220306,0,0,0,2,0,0
"164",220323,0,0,0,2,0,0
"165",230112,0,0,0,1,0,0
"166",230398,0,2,0,3,1,0
"167",230560,0,5,0,3,1,0
"168",230563,0,1,0,1,0,0
"169",240404,0,3,0,4,0,0
"170",240712,0,0,0,4,0,0
"171",240745,1,0,0,1,0,0
"172",260632,1,2,0,1,0,1
"173",270084,0,0,0,2,0,2
"174",270416,1,1,0,2,0,0
"175",270492,0,0,0,1,1,0
"176",270638,0,1,0,1,1,0
"177",280429,0,2,0,2,1,0
"178",280807,0,0,0,2,0,0
"179",280816,0,0,0,2,0,0
"180",290036,0,0,2,1,0,0
"181",290742,0,0,0,1,0,0
"182",291296,0,0,0,1,1,0
"183",300674,0,0,0,1,0,0
"184",300898,0,0,0,1,0,0
"185",301129,0,0,0,1,0,0
"186",301148,0,0,0,2,0,0
"187",301161,0,0,0,1,0,0
"188",310238,0,0,0,1,1,0
"189",310623,1,0,1,1,0,0
"190",310700,0,0,0,2,1,0
"191",320485,0,0,1,2,1,0
"192",321440,0,0,0,1,0,0
"193",330011,0,0,0,6,0,0
"194",330179,1,0,0,3,0,0
"195",330204,0,1,0,3,2,0
"196",330347,0,0,0,3,2,0
"197",330351,0,0,0,2,0,0
"198",330680,0,0,0,1,1,0
"199",330993,0,0,0,1,1,0
"200",331159,0,0,0,1,0,0
"201",331236,0,0,0,1,0,0
"202",340244,0,0,1,3,1,0
"203",340309,0,0,0,3,2,0
"204",340419,0,0,0,2,1,0
"205",340591,1,0,0,2,1,1
"206",350384,0,0,0,1,1,0
"207",350816,0,0,0,2,0,0
"208",350903,0,0,0,1,0,0
